metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	19332986	61657966	147111619	471237121	979070623	1464954442	1627565717	1428141702	1699471091
Short term liabilities	58656677	66819222	72653975	86584567	93647462	136188049	142926114	130956378	100004773
Long term liabilities	47088863	88659574	138428458	94192257	106650442	151758050	120816862	135376892	246191438
Equity	93727129	94584265	207950699	574064507	1623885872	2678821316	3048929172	3373578033	3701147467
Total assets	369203380	353866719	635435046	1283019945	2589846186	4022121868	4232287577	4537199027	5275787491
Income statement									
Revenue	428112815	233411672	432405300	1358955850	2449421013	2980107198	3198127294	3574460759	3668384788
Operating income	48927495	30013388	82319272	354872548	732237389	789696014	866508661	910233897	833890268
Net income	18243268	1646934	46351875	287394121	496041691	327726027	432092423	399365746	411568954
Statistics									
Price	0.45	0.98	0.86	6.00	9.04	10.82	8.96	9.79	14
Dividend								0.0101	0.0074
#config	ist:desa	490000000	1	Equity|Total assets|Revenue|Operating income					
