metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents			4228374	1788710	1644541	3632016	2946366	4479856	8589847
Short term liabilities			1215821	16317242	3111013	3551623	2597175	3308616	3747580
Long term liabilities			33777015	10674504	16077334	14761710	15789069	17822207	26305313
Equity			22850528	37411941	55698066	89566051	99035698	107760270	124787217
Total assets			68472145	76425509	83755488	122971432	135406751	149289906	181502850
Income statement									
Revenue			3307707	4201418	5010863	8222930	9044004	9820318	11037857
Operating income			6860249	14154208	14351187	7249989	5077074	9517519	9476494
Net income			-1970708	14569592	18284556	4686168	1906897	2920101	8319882
Statistics									
Price					113.00	126.40	107.30	136.50	148
Dividend									
#config	ist:rgyas	331000000	1000	Equity|Total assets|Revenue|Operating income					
