metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		1132197	1524084	3232845	245034394	1276296037	1679026872	1381424608	2099935958
Short term liabilities									
Long term liabilities									107193198
Equity		106707026	136055440	574104945	1583518963	4677757553	5379558898	5731867192	6804115428
Total assets		310389092	623283762	1082296933	2119190950	5568022817	6616026364	7117441039	8705637182
Income statement									
Revenue		314311096	535718488	1171096300	2726024430	6212603175	6470807614	7055671749	7858839497
Operating income		54000000	55000000	400000000	1166687394	2415866676	2526977999	2617607616	2936132582
Net income		53000000	53000000	394000000	1134450471	2160935342	1735440455	1901010272	2173561262
Statistics									
Price					21.51	30.98	31.62	26.74	27
Dividend							0.0351		
#config	ist:lmkdc	516179700	1	Total assets|Revenue|Operating income|Net income					
