metricName,2019/12/30,2020/12/30,2021/12/30,2022/12/30,2023/12/30,2024/12/30,2025/3/30,2025/6/30,2025/9/30,2025/12/30,2026/3/30
Balance sheet,,,,,,,,,,,
Cash & cash equivalents,94000000,224000000,293096282,515084171,3082385720,7921344821,9799880952,10403281786,10243985586,14517335470,15016018218
Short term liabilities,114000000,398000000,1021271660,1012762245,1062022745,1788116500,2906116500,3316317200,4589287800,4544362747,3842666171
Long term liabilities,289000000,331000000,,,,,,,,,2608648395
Equity,330000000,558000000,1098575339,3310866689,12238814122,20824338855,23831200743,26157955886,29305773835,33280133403,38403565895
Total assets,1291000000,1687000000,3184958865,6417959075,18753848694,30551925747,34473440702,38157317443,43828606713,50684431646,58630702726
Income statement,,,,,,,,,,,
Revenue,1110000000,1450000000,3154302309,7392433448,16914388252,26624069648,27098422431,28876873830,30357517810,35290767390,38299522966
Operating income,197000000,374000000,1006310479,2192529533,5521999395,6599287382,6576905935,7154502475,7490174217,9777395430,11240216070
Net income,127000000,225000000,517681157,1827009411,4598326879,5024880084,5360584811,5610783050,6284927172,7668909328,8573293394
Statistics,,,,,,,,,,,
Price,,,,,103.70,115.60,110.20,92.95,97.60,117.00,195.20
Dividend,,,,,0.0107,0.0136,0.0135,,,,
#config,ist:astor,998000000,1,Total assets|Revenue|Operating income|Net income,,,,,,,
